"Car.WheelSpd_FL","Car.WheelSpd_FR","Car.WheelSpd_RL","Car.WheelSpd_RR","Car.v","Time"
"C1","C1","C1","C1","C1","C1"
"rad/s","rad/s","rad/s","rad/s","m/s","s"
0.9349704385,0.9357271791,0.8909561634,0.8931894302,0.262833178,0.211
1.074260354,1.075452447,1.023500323,1.026315808,0.3056004643,0.221
1.227009535,1.228773355,1.168209434,1.171807766,0.3521844149,0.231
1.393456697,1.395797729,1.327292442,1.331588745,0.4025343955,0.241
1.573903441,1.5767169,1.500260115,1.505359769,0.456638813,0.251
1.768519282,1.771852374,1.686610699,1.692559123,0.514484942,0.261
1.977223516,1.98165679,1.886028409,1.892821908,0.5760565996,0.271
2.200391293,2.206736565,2.097654104,2.105440855,0.6413291693,0.281
2.43852067,2.447417021,2.321425438,2.330028296,0.7102201581,0.291
2.691540956,2.704346895,2.55670476,2.56615591,0.7825912237,0.301
2.960110426,2.980349541,2.802742958,2.812966108,0.8582940698,0.311
3.246139526,3.285154343,3.058818579,3.069719553,0.9371570349,0.321
3.550490141,3.718465805,3.324243069,3.33447504,1.018718004,0.331
3.86404109,4.504358768,3.598060846,3.602811813,1.101987481,0.341
4.236241817,5.505102634,3.878117085,3.877147198,1.187065959,0.351
4.830339909,6.626175404,4.162051201,4.159375191,1.273606896,0.361
5.629394054,7.798224449,4.450401783,4.448550701,1.361746073,0.371
6.471986294,8.991471291,4.745262623,4.744859695,1.451948047,0.381
7.341285229,10.20556068,5.043876648,5.046146393,1.5441221,0.391
8.26497364,11.46451855,5.3472085,5.352489948,1.637937069,0.401
9.192417145,12.72246265,5.638847351,5.645150185,1.733345151,0.411
9.569825172,13.43211651,5.915939808,5.917450428,1.826174736,0.421
9.578400612,13.77534199,6.192442417,6.194590092,1.915975809,0.431
9.542137146,14.07356739,6.465026379,6.466025829,2.004660368,0.441
9.499278069,14.36272717,6.735440731,6.73558569,2.092576504,0.451
9.454411507,14.64588737,7.00437355,7.004459381,2.179853439,0.461
