"Car.ax","Time"
"C1","C1"
"m/s^2","s"
0.0132370675,0.051
0.0558382608,0.061
0.2055789381,0.071
0.6111297011,0.081
0.8896744251,0.091
0.7634527683,0.101
1.058881164,0.111
1.237644553,0.121
1.440537214,0.131
1.661791444,0.141
1.89311111,0.151
2.167078257,0.161
2.548823595,0.171
2.923324347,0.181
3.30979991,0.191
3.689643621,0.201
4.096362591,0.211
4.484399796,0.221
4.86338377,0.231
5.242281437,0.241
5.619257927,0.251
5.995114326,0.261
6.367944717,0.271
6.73453474,0.281
7.088654041,0.291
7.427538395,0.301
7.750638008,0.311
8.05110836,0.321
8.25331974,0.331
8.424347878,0.341
8.595891953,0.351
8.722742081,0.361
8.919683456,0.371
9.13034153,0.381
9.302140236,0.391
9.465772629,0.401
9.501111984,0.411
9.032420158,0.421
8.897006989,0.431
8.815150261,0.441
8.748473167,0.451
8.692069054,0.461
8.643821716,0.471
8.6019907,0.481
8.567559242,0.491
8.985244751,0.501
8.78524971,0.511
8.712173462,0.521
8.669045448,0.531
8.631937027,0.541
8.667275429,0.551
8.343384743,0.561
8.242811203,0.571
8.247069359,0.581
8.232417107,0.591
8.22406292,0.601
8.212656021,0.611
8.198081017,0.621
8.165466309,0.631
8.124605179,0.641
8.084353447,0.651
8.047215462,0.661
8.013068199,0.671
7.981678009,0.681
7.952342987,0.691
7.924507618,0.701
7.897910595,0.711
7.872272491,0.721
7.847632408,0.731
7.823867321,0.741
7.800680161,0.751
7.778032303,0.761
7.755572319,0.771
7.733051777,0.781
7.71049118,0.791
7.688257217,0.801
7.665832996,0.811
7.642334938,0.821
7.617589951,0.831
7.598025322,0.841
7.627152443,0.851
7.690335274,0.861
7.704380035,0.871
7.615495682,0.881
7.435492992,0.891
7.277904987,0.901
7.170015812,0.911
7.105757236,0.921
7.074560642,0.931
7.063663483,0.941
7.062446594,0.951
7.064183235,0.961
7.066057682,0.971
7.066934109,0.981
7.066553116,0.991
7.06515646,1.001
7.063094139,1.011
7.060700893,1.021
7.058223248,1.031
7.055787086,1.041
7.053329945,1.051
7.051133156,1.061
7.049126625,1.071
7.047430992,1.081
7.046016693,1.091
7.044829369,1.101
7.043828011,1.111
7.04297924,1.121
7.042259693,1.131
7.041652679,1.141
7.041142941,1.151
7.040719509,1.161
7.040372372,1.171
7.040093422,1.181
7.039874554,1.191
7.038078308,1.201
7.028370857,1.211
7.011425018,1.221
6.989398003,1.231
6.962007523,1.241
6.930497646,1.251
6.896789074,1.261
6.858822823,1.271
6.816159725,1.281
6.770009041,1.291
6.723013401,1.301
6.675570011,1.311
6.627569675,1.321
6.579660416,1.331
6.532291412,1.341
6.484929085,1.351
6.438046932,1.361
6.391111851,1.371
6.344053268,1.381
6.29762888,1.391
6.252283096,1.401
6.208367825,1.411
6.166518688,1.421
6.126443863,1.431
6.087574005,1.441
6.048733711,1.451
6.010042191,1.461
5.972130775,1.471
5.934734821,1.481
